# Track 2 report bibliography — verified with tools/run-verify-citations.sh
#
# Columns: PMID <TAB> first author <TAB> year <TAB> journal <TAB> pages <TAB> report section
# The first five are re-derived from PubMed MEDLINE and compared exactly.
# Author+year is NOT a unique key (three colliding pairs here); author+year+journal
# still collides once (two Suijkerbuijk SJ 2012 papers in Dev Cell), so pages are
# part of the key. Swapping two same-author-same-year PMIDs must fail the check.
# Pages may be empty for journals using article numbers; empty is compared, not required.
# The last column is for a human spot-checking that the paper supports the claim.


# --- 1.1 molecular lesion, genotype-phenotype, dose-response ---
18932004	Bohers E	2008	Hum Genet	473-8	1.1 molecular lesion, genotype-phenotype, dose-response
28611924	Kato M	2017	Hum Genome Var	17021	1.1 molecular lesion, genotype-phenotype, dose-response
16411201	Matsuura S	2006	Am J Med Genet A	358-67	1.1 molecular lesion, genotype-phenotype, dose-response
24344301	Ochiai H	2014	Proc Natl Acad Sci U S A	1461-6	1.1 molecular lesion, genotype-phenotype, dose-response
40555658	Qu J	2025	Zhonghua Yi Xue Yi Chuan Xue Za Zhi	446-453	1.1 molecular lesion, genotype-phenotype, dose-response
20516114	Suijkerbuijk SJ	2010	Cancer Res	4891-900	1.1 molecular lesion, genotype-phenotype, dose-response

# --- 1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase ---
27509861	Alfieri C	2016	Nature	431-436	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
17369399	Burton JL	2007	Genes Dev	655-67	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
22437499	Chao WC	2012	Nature	208-13	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
25669885	Di Fiore B	2015	Dev Cell	358-372	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
17785528	Elowe S	2007	Genes Dev	2205-19	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
33207204	Gama Braga L	2020	Cell Rep	108397	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
23791783	Han JS	2013	Mol Cell	92-104	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
25383541	Izawa D	2015	Nature	631-4	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
23345399	Kruse T	2013	J Cell Sci	1086-92	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
15592459	Lampson MA	2005	Nat Cell Biol	93-8	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
22193957	Lara-Gonzalez P	2011	J Cell Sci	4332-45	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
11535616	Sudakin V	2001	J Cell Biol	925-36	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
23079597	Suijkerbuijk SJ	2012	Dev Cell	745-55	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
22698286	Suijkerbuijk SJ	2012	Dev Cell	1321-9	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
11702782	Tang Z	2001	Dev Cell	227-37	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
30829571	Vallardi G	2019	Elife		1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase
23789096	Xu P	2013	Biol Open	479-86	1.2 BubR1 function: SAC/MCC, KARD-PP2A, pseudokinase

# --- 1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress ---
27731420	Andriani GA	2016	Sci Rep	35218	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
15208629	Baker DJ	2004	Nat Genet	744-9	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
18516091	Baker DJ	2008	Nat Cell Biol	825-36	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
22048312	Baker DJ	2011	Nature	232-6	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
23242215	Baker DJ	2013	Nat Cell Biol	96-102	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
29342134	Bakhoum SF	2018	Nature	467-472	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
22258507	Crasta K	2012	Nature	53-8	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
25205676	Donnelly N	2014	EMBO J	2374-87	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
28976970	Dou Z	2017	Nature	402-406	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
18192061	Geigl JB	2008	Trends Genet	64-9	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
28759028	Gluck S	2017	Nat Cell Biol	1061-1070	1.3 downstream: CIN, micronuclei, cGAS-STING, senescence, proteotoxic stress
